Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Albania,ALB,813.255695500012,572.781843950789,418.286629757142,412.378880465233,441.249295409311,417.034843013203,447.848870261137,384.594958328053,426.682819087559,576.183632282524,580.494764208924,597.265252650749,660.04798411018,648.168387059418,715.414483080102,719.584378082987,706.859407721917,679.861765101008,710.748498463347,732.316681804627,729.154372728518,764.968616564465,687.896259861998,801.329975005976,808.455839595944,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Algeria,DZA,861.26075644082,888.875311694155,888.735284604751,872.307680895398,823.57652684111,843.042084082623,802.099506242738,808.759304170574,824.533760649989,867.798408837998,869.609839626561,860.041395781456,908.297315824598,953.058280741691,952.267948743557,977.954084926921,1031.91917410783,1078.18363301261,1073.20562887929,1153.66407103709,1114.21702841404,1140.642714455,1229.54742507113,1247.49505324208,1327.53554410198,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Angola,AGO,496.536490286525,491.802570695934,478.585591978615,479.819846181838,470.938621702554,455.666054700088,454.055175995032,449.254449933665,433.882494734075,441.163218779962,438.550019264464,442.978839594794,448.261720124591,467.644059295602,464.807847471059,433.572530712526,458.794164795152,471.694177230981,491.978616527178,515.217119303077,520.962358420099,521.780681377771,552.363633626363,533.761009664135,544.609322198063,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Antigua and Barbuda,ATG,1580.5321136131,..,..,..,..,..,..,..,..,..,..,..,..,..,1680.4421429994,1681.70379917756,1729.05784484426,1737.5574227025,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Argentina,ARG,1412.17982926394,1435.48465794008,1489.3475938049,1474.3065455394,1548.62325810042,1551.74512470796,1589.91764656415,1621.9095044682,1658.49540389345,1668.22514401839,1669.52674484545,1570.89716364988,1510.31320228793,1598.78954106856,1728.2140026497,1720.67371317425,1853.04166635488,1858.39221787863,1937.64146650113,1865.33726382679,1928.65235658729,1952.05105293095,1936.80353979442,1967.02167752077,2029.92282543737,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Armenia,ARM,2178.54365998704,2317.9141164502,1199.7724537784,651.936839375958,419.821498343163,511.172244966973,562.16090986077,594.249636700394,609.996117331851,593.541256747281,656.308934968861,657.473218327544,618.454715228654,656.481656975704,698.084126476312,842.697522430884,864.883191636297,972.798366510742,1033.17182656044,903.700436135691,863.025962710426,944.040370751229,1029.94353083614,1000.95838464045,1015.90988609749,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
